import time: self [us] | cumulative | imported package
import time:       275 |        275 | winreg
import time:       580 |        580 |   _io
import time:       134 |        134 |   marshal
import time:       846 |        846 |   nt
import time:      6335 |       7894 | _frozen_importlib_external
import time:      1281 |       1281 |   time
import time:      1912 |       3193 | zipimport
import time:       196 |        196 |     _codecs
import time:      2825 |       3021 |   codecs
import time:      2821 |       2821 |   encodings.aliases
import time:      2004 |       2004 |   encodings._win_cp_codecs
import time:   5467099 |    5474945 | encodings
import time:      1759 |       1759 | encodings.utf_8
import time:      1727 |       1727 | encodings.cp1252
import time:       160 |        160 | _signal
import time:       111 |        111 |       _abc
import time:       853 |        963 |     abc
import time:       134 |        134 |       _stat
import time:       860 |        993 |     stat
import time:      2072 |       2072 |     _collections_abc
import time:       242 |        242 |       genericpath
import time:       282 |        282 |       _winapi
import time:      1470 |       1992 |     ntpath
import time:      2814 |       8834 |   os
import time:       282 |        282 |   _sitebuiltins
import time:       151 |        151 |   errno
import time:      1009 |       1009 |   sitecustomize
import time:       388 |        388 |   usercustomize
import time:      3806 |      14468 | site
import time:     41217 |      41217 |         django.utils
import time:       208 |        208 |           _datetime
import time:     23881 |      24088 |         datetime
import time:       410 |        410 |             itertools
import time:     13687 |      13687 |             keyword
import time:       227 |        227 |               _operator
import time:      9219 |       9446 |             operator
import time:      4997 |       4997 |             reprlib
import time:       246 |        246 |             _collections
import time:     38018 |      66801 |           collections
import time:       158 |        158 |             _types
import time:      3243 |       3401 |           types
import time:       202 |        202 |           _functools
import time:     16996 |      87398 |         functools
import time:       573 |        573 |           io
import time:       193 |        193 |             _locale
import time:      3374 |       3566 |           locale
import time:     16384 |      16384 |             enum
import time:      2738 |      19122 |           signal
import time:       153 |        153 |             _contextvars
import time:      5414 |       5414 |             _weakrefset
import time:      4172 |       9738 |           threading
import time:      8773 |       8773 |             _py_warnings
import time:     41335 |      50108 |           warnings
import time:     16668 |      16668 |           contextlib
import time:       653 |        653 |           fcntl
import time:       181 |        181 |           msvcrt
import time:     21691 |     122296 |         subprocess
import time:       207 |        207 |               _sre
import time:     16680 |      16680 |                 re._constants
import time:      5050 |      21729 |               re._parser
import time:     11425 |      11425 |               re._casefix
import time:      3894 |      37254 |             re._compiler
import time:      3827 |       3827 |             copyreg
import time:      5437 |      46517 |           re
import time:      2806 |       2806 |               weakref
import time:      4693 |       7499 |             copy
import time:     16442 |      23940 |           django.utils.functional
import time:      4948 |      75405 |         django.utils.regex_helper
import time:     17955 |     368358 |       django.utils.version
import time:   1031679 |    1400037 |     django
import time:      5963 |    1405999 |   django.core
import time:      3368 |       3368 |     importlib
import time:      1905 |       1905 |       importlib._abc
import time:     13183 |      15087 |     importlib.util
import time:       226 |        226 |     importlib.machinery
import time:      5986 |      24666 |   pkgutil
import time:      2046 |       2046 |     gettext
import time:      6543 |       8589 |   argparse
import time:       176 |        176 |       _heapq
import time:      4343 |       4518 |     heapq
import time:     12202 |      16719 |   difflib
import time:     17087 |      17087 |             _ast
import time:      6680 |      23767 |           ast
import time:     10415 |      34181 |         annotationlib
import time:       145 |        145 |             _opcode
import time:      1781 |       1781 |             _opcode_metadata
import time:      3127 |       5053 |           opcode
import time:      6070 |      11122 |         dis
import time:      1713 |       1713 |         linecache
import time:      1959 |       1959 |           token
import time:       125 |        125 |           _tokenize
import time:      9982 |      12065 |         tokenize
import time:     20457 |      79537 |       inspect
import time:      1349 |       1349 |         django.utils.hashable
import time:     12877 |      14226 |       django.core.exceptions
import time:      2887 |       2887 |       django.utils.module_loading
import time:      3611 |     100260 |     django.apps.config
import time:      4812 |       4812 |     django.apps.registry
import time:      2678 |     107750 |   django.apps
import time:     32726 |      32726 |       textwrap
import time:      1980 |       1980 |         __future__
import time:     16231 |      18211 |       codeop
import time:      3079 |       3079 |         dataclasses
import time:     67450 |      70528 |       _colorize
import time:    154349 |     275812 |     traceback
import time:       556 |        556 |         posix
import time:      2487 |       2487 |         posix
import time:      1327 |       4369 |       posixpath
import time:      2442 |       2442 |         fnmatch
import time:      6093 |       8535 |       glob
import time:       588 |        588 |       pwd
import time:       408 |        408 |       grp
import time:       633 |        633 |         fcntl
import time:       426 |        426 |         posix
import time:      8651 |       9709 |       pathlib._os
import time:     18924 |      42532 |     pathlib
import time:      5976 |       5976 |     django.conf.global_settings
import time:      4246 |       4246 |         asgiref
import time:      1882 |       1882 |               concurrent
import time:       166 |        166 |                     _string
import time:     16000 |      16166 |                   string
import time:       132 |        132 |                   atexit
import time:     10908 |      27204 |                 logging
import time:     11382 |      38585 |               concurrent.futures._base
import time:       157 |        157 |               _interpreters
import time:     29517 |      70141 |             concurrent.futures
import time:     15783 |      15783 |               _socket
import time:      7355 |      23138 |             socket
import time:     16655 |      16655 |               _ssl
import time:       243 |        243 |                   _struct
import time:      2392 |       2635 |                 struct
